time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
16.4,1.65,27.8,13.9,0.8475609756097560975609756097560976
16.5,1.65,27.8,13.9,0.8424242424242424242424242424242424
16.6,1.65,27.8,13.9,0.8373493975903614457831325301204819
16.7,1.65,27.8,13.9,0.8323353293413173652694610778443114
16.8,1.65,27.8,13.9,0.8273809523809523809523809523809524
16.9,1.65,27.8,13.9,0.8224852071005917159763313609467456
17.0,1.65,27.8,13.9,0.8176470588235294117647058823529412
17.1,1.65,27.8,13.9,0.8128654970760233918128654970760234
17.2,1.65,27.8,13.9,0.8081395348837209302325581395348837
17.3,1.65,27.8,13.9,0.8034682080924855491329479768786127
17.4,1.65,27.8,13.9,0.7988505747126436781609195402298851
17.5,1.65,27.8,13.9,0.7942857142857142857142857142857143
17.6,1.65,27.8,13.9,0.7897727272727272727272727272727273
17.7,1.65,27.8,13.9,0.7853107344632768361581920903954802
17.8,1.65,27.8,13.9,0.7808988764044943820224719101123596
17.9,1.65,27.8,13.9,0.7765363128491620111731843575418994
18.0,1.65,27.8,13.9,0.7722222222222222222222222222222222
18.1,1.65,27.8,13.9,0.7679558011049723756906077348066298
18.2,1.65,27.8,13.9,0.7637362637362637362637362637362637
18.3,1.65,27.8,13.9,0.7595628415300546448087431693989071
18.4,1.65,27.8,13.9,0.7554347826086956521739130434782609
18.5,1.65,27.8,13.9,0.7513513513513513513513513513513514
18.6,1.65,27.8,13.9,0.7473118279569892473118279569892473
18.7,1.65,27.8,13.9,0.7433155080213903743315508021390374
18.8,1.65,27.8,13.9,0.7393617021276595744680851063829787
18.9,1.65,27.8,13.9,0.7354497354497354497354497354497354
19.0,1.65,27.8,13.9,0.7315789473684210526315789473684211
19.1,1.65,27.8,13.9,0.7277486910994764397905759162303665
19.2,1.65,27.8,13.9,0.7239583333333333333333333333333333
19.3,1.65,27.8,13.9,0.7202072538860103626943005181347150
19.4,1.65,27.8,13.9,0.7164948453608247422680412371134021
19.5,1.65,27.8,13.9,0.7128205128205128205128205128205128
19.6,1.65,27.8,13.9,0.7091836734693877551020408163265306
19.7,1.65,27.8,13.9,0.7055837563451776649746192893401015
19.8,1.65,27.8,13.9,0.7020202020202020202020202020202020
19.9,1.65,27.8,13.9,0.6984924623115577889447236180904523
20.0,1.65,27.8,13.9,0.695
20.1,1.65,27.8,13.9,0.6915422885572139303482587064676617
20.2,1.65,27.8,13.9,0.6881188118811881188118811881188119
20.3,1.65,27.8,13.9,0.6847290640394088669950738916256158
20.4,1.65,27.8,13.9,0.6813725490196078431372549019607843
20.5,1.65,27.8,13.9,0.6780487804878048780487804878048780
20.6,1.65,27.8,13.9,0.6747572815533980582524271844660194
20.7,1.65,27.8,13.9,0.6714975845410628019323671497584541
20.8,1.65,27.8,13.9,0.6682692307692307692307692307692308
20.9,1.65,27.8,13.9,0.6650717703349282296650717703349282
21.0,1.65,27.8,13.9,0.6619047619047619047619047619047619
21.1,1.65,27.8,13.9,0.6587677725118483412322274881516588
21.2,1.65,27.8,13.9,0.6556603773584905660377358490566038
21.3,1.65,27.8,13.9,0.6525821596244131455399061032863850
21.4,1.65,27.8,13.9,0.6495327102803738317757009345794393
21.5,1.65,27.8,13.9,0.6465116279069767441860465116279070
21.6,1.65,27.8,13.9,0.6435185185185185185185185185185185
21.7,1.65,27.8,13.9,0.6405529953917050691244239631336406
21.8,1.65,27.8,13.9,0.6376146788990825688073394495412844
21.9,1.65,27.8,13.9,0.6347031963470319634703196347031963
22.0,1.65,27.8,13.9,0.6318181818181818181818181818181818
22.1,1.65,27.8,13.9,0.6289592760180995475113122171945701
22.2,1.65,27.8,13.9,0.6261261261261261261261261261261261
22.3,1.65,27.8,13.9,0.6233183856502242152466367713004484
22.4,1.65,27.8,13.9,0.6205357142857142857142857142857143
22.5,1.65,27.8,13.9,0.6177777777777777777777777777777778
